date,open,low,high,close,weightedAverage,volume,quoteVolume
2014-02-04 16:00:00,0.0252,0.0212,0.0268,0.0267,0.02358408,10.86636243,460.74973043
2014-02-05 16:00:00,0.0267,0.025,0.0276,0.0266,0.02595818,1.73397992,66.79896149
2014-02-06 16:00:00,0.0276,0.0028,0.0276,0.0269,0.02534992,8.31525369,328.01889895
2014-02-07 16:00:00,0.0268,0.0203,0.0268,0.0263,0.02525003,3.23422427,128.08791747
2014-02-08 16:00:00,0.0263,0.0242,0.0263,0.0261,0.02572028,2.39280182,93.03169214
2014-02-09 16:00:00,0.0261,0.0248,0.0261,0.0261,0.02556178,2.36775914,92.62887237
2014-02-10 16:00:00,0.0256,0.0248,0.0262,0.0259,0.025384,2.29257237,90.31563564
