epoch,open,high,low,close,volume,utc
1515508200,0.08214,0.082772,0.082094,0.082526,9442.78,2018-01-09 14:30:00
1515510000,0.082543,0.08265,0.0819,0.082303,9330.468,2018-01-09 15:00:00
1515511800,0.082168,0.082895,0.08175,0.082,8421.43,2018-01-09 15:30:00
1515513600,0.082046,0.082132,0.0816,0.081612,7836.951,2018-01-09 16:00:00
1515515400,0.081612,0.08175,0.081091,0.081381,9496.826,2018-01-09 16:30:00
1515517200,0.081274,0.081555,0.081003,0.081125,6761.642,2018-01-09 17:00:00
1515519000,0.081125,0.081499,0.08055,0.080969,5977.809,2018-01-09 17:30:00
1515520800,0.080959,0.08151,0.0808,0.0813,6777.039,2018-01-09 18:00:00
1515522600,0.0813,0.0817,0.0813,0.081632,6448.828,2018-01-09 18:30:00
1515524400,0.081555,0.081863,0.08145,0.081574,5296.653,2018-01-09 19:00:00
1515526200,0.08159,0.082054,0.081517,0.082014,6619.034,2018-01-09 19:30:00
1515528000,0.082014,0.0841,0.081934,0.08395,9936.257,2018-01-09 20:00:00
1515529800,0.083861,0.0845,0.083345,0.084397,11722.504,2018-01-09 20:30:00
1515531600,0.084314,0.0848,0.084237,0.084705,9631.835,2018-01-09 21:00:00
1515533400,0.084789,0.0874,0.084705,0.086711,14306.434,2018-01-09 21:30:00
1515535200,0.086771,0.089,0.086452,0.088905,15933.543,2018-01-09 22:00:00
1515537000,0.088996,0.093,0.088566,0.088922,25146.841,2018-01-09 22:30:00
1515538800,0.0889,0.093,0.088888,0.09095,20282.928,2018-01-09 23:00:00
1515540600,0.09106,0.0915,0.0879,0.08965,15075.984,2018-01-09 23:30:00
1515542400,0.089659,0.0899,0.08801,0.089813,8772.255,2018-01-10 00:00:00
1515544200,0.089814,0.091009,0.089666,0.090148,8079.424,2018-01-10 00:30:00
1515546000,0.090101,0.090748,0.089631,0.09067,9569.85,2018-01-10 01:00:00
1515547800,0.090601,0.091218,0.09,0.090231,7830.702,2018-01-10 01:30:00
1515549600,0.090231,0.0915,0.090114,0.091288,8091.115,2018-01-10 02:00:00
1515551400,0.091488,0.0925,0.091288,0.09193,9978.63,2018-01-10 02:30:00
1515553200,0.09199,0.095,0.091925,0.094741,12499.374,2018-01-10 03:00:00
1515555000,0.094726,0.0985,0.094726,0.09678,20220.505,2018-01-10 03:30:00
1515556800,0.096779,0.0986,0.094853,0.098145,16122.9,2018-01-10 04:00:00
1515558600,0.098145,0.101004,0.098083,0.100639,18084.888,2018-01-10 04:30:00
1515560400,0.100635,0.100767,0.09678,0.098472,18278.467,2018-01-10 05:00:00
1515562200,0.098365,0.098476,0.095,0.095857,14005.214,2018-01-10 05:30:00
1515564000,0.095954,0.097706,0.093851,0.096949,11884.584,2018-01-10 06:00:00
1515565800,0.09693,0.09744,0.096,0.096276,8934.894,2018-01-10 06:30:00
1515567600,0.096216,0.097199,0.095131,0.095562,13025.648,2018-01-10 07:00:00
