epoch,open_ETH/BTC_paper,high_ETH/BTC_paper,low_ETH/BTC_paper,close_ETH/BTC_paper,volume_ETH/BTC_paper,utc
1515589200,0.095582,0.09685,0.095482,0.0959,5642.617,2018-01-10 13:00:00
1515591000,0.095899,0.09663,0.095869,0.096355,8870.994,2018-01-10 13:30:00
1515592800,0.096355,0.097696,0.096167,0.096579,8929.138,2018-01-10 14:00:00
1515594600,0.096579,0.097001,0.095,0.09646,9865.679,2018-01-10 14:30:00
1515596400,0.09638,0.098,0.095549,0.095899,11076.319,2018-01-10 15:00:00
1515598200,0.095903,0.09661,0.093417,0.09379,13134.022,2018-01-10 15:30:00
1515600000,0.093784,0.09415,0.092,0.092223,13250.345,2018-01-10 16:00:00
1515601800,0.09213,0.092683,0.090259,0.091738,10525.8,2018-01-10 16:30:00
1515603600,0.09171,0.0935,0.091118,0.0933,6759.819,2018-01-10 17:00:00
1515605400,0.0933,0.094,0.091,0.091419,6690.124,2018-01-10 17:30:00
1515607200,0.091419,0.09197,0.0895,0.089977,8834.981,2018-01-10 18:00:00
1515609000,0.089977,0.090164,0.088331,0.0885,6236.924,2018-01-10 18:30:00
1515610800,0.088536,0.089022,0.08841,0.08861,5563.89,2018-01-10 19:00:00
1515612600,0.088637,0.09099,0.088502,0.090945,6753.646,2018-01-10 19:30:00
1515614400,0.090814,0.09141,0.090078,0.09012,6086.654,2018-01-10 20:00:00
1515616200,0.090106,0.090199,0.08888,0.089488,6886.113,2018-01-10 20:30:00
1515618000,0.089487,0.091172,0.087,0.090146,7076.566,2018-01-10 21:00:00
1515619800,0.090146,0.090146,0.087,0.087186,8721.825,2018-01-10 21:30:00
1515621600,0.087182,0.087244,0.0845,0.086521,11784.458,2018-01-10 22:00:00
1515623400,0.086335,0.08691,0.084006,0.084918,10931.847,2018-01-10 22:30:00
1515625200,0.084824,0.086143,0.0841,0.0841,7500.989,2018-01-10 23:00:00
1515627000,0.084101,0.084553,0.08282,0.083884,9233.402,2018-01-10 23:30:00
1515628800,0.083881,0.088117,0.082987,0.088003,9664.67,2018-01-11 00:00:00
1515630600,0.088097,0.091699,0.08795,0.091497,9052.761,2018-01-11 00:30:00
1515632400,0.091498,0.091699,0.088116,0.0896,8794.998,2018-01-11 01:00:00
1515634200,0.089546,0.090227,0.089256,0.08982,5096.146,2018-01-11 01:30:00
1515636000,0.08982,0.0907,0.089345,0.090516,3925.354,2018-01-11 02:00:00
1515637800,0.090516,0.0917,0.090351,0.091323,4911.06,2018-01-11 02:30:00
1515639600,0.091323,0.092004,0.09,0.091714,8802.505,2018-01-11 03:00:00
1515641400,0.091715,0.091926,0.087007,0.089746,15639.651,2018-01-11 03:30:00
1515643200,0.089656,0.091573,0.0879,0.08963,17841.285,2018-01-11 04:00:00
1515645000,0.08969,0.090487,0.087163,0.089693,19659.408,2018-01-11 04:30:00
1515646800,0.089693,0.092216,0.089421,0.090225,11290.229,2018-01-11 05:00:00
1515648600,0.090161,0.090399,0.088011,0.08862,8533.303,2018-01-11 05:30:00
1515650400,0.088523,0.09038,0.0878,0.08852,7483.889,2018-01-11 06:00:00
1515652200,0.088599,0.089999,0.08853,0.089744,6678.666,2018-01-11 06:30:00
