epoch,open_LTC/BTC_paper,high_LTC/BTC_paper,low_LTC/BTC_paper,close_LTC/BTC_paper,volume_LTC/BTC_paper,utc
1516469400,0.01642,0.016508,0.01613,0.01646,5506.22,2018-01-20 17:30:00
1516471200,0.016457,0.016485,0.016393,0.016469,2021.46,2018-01-20 18:00:00
1516473000,0.01647,0.01655,0.01605,0.016391,4072.98,2018-01-20 18:30:00
1516474800,0.0164,0.016518,0.016378,0.016411,2140.15,2018-01-20 19:00:00
