epoch,open,high,low,close,volume,utc
1516374240,0.091665,0.09181,0.091602,0.091604,208.528,2018-01-19 15:04:00
1516374300,0.091723,0.091823,0.091604,0.0917,226.782,2018-01-19 15:05:00
1516374360,0.09181,0.09181,0.09169,0.091801,145.358,2018-01-19 15:06:00
1516374420,0.091801,0.091844,0.091703,0.091715,172.683,2018-01-19 15:07:00
1516374480,0.091715,0.09184,0.091675,0.09172,208.105,2018-01-19 15:08:00
1516374540,0.091711,0.092,0.091711,0.091941,186.86700000000002,2018-01-19 15:09:00
1516374600,0.091941,0.091942,0.09172899999999999,0.09172899999999999,235.521,2018-01-19 15:10:00
1516374660,0.091794,0.091977,0.09172899999999999,0.09187100000000001,192.574,2018-01-19 15:11:00
1516374720,0.091739,0.091908,0.091739,0.091772,106.597,2018-01-19 15:12:00
1516374780,0.09177300000000001,0.091891,0.091772,0.0918,105.491,2018-01-19 15:13:00
1516374840,0.0918,0.091905,0.091783,0.09185,123.361,2018-01-19 15:14:00
1516374900,0.09185,0.09185,0.09177,0.09178,133.843,2018-01-19 15:15:00
1516374960,0.09183999999999999,0.09185,0.091725,0.091727,162.458,2018-01-19 15:16:00
1516375020,0.091727,0.091905,0.09172000000000001,0.091791,177.03900000000004,2018-01-19 15:17:00
1516375080,0.091903,0.092,0.09172000000000001,0.091889,141.377,2018-01-19 15:18:00
1516375140,0.091811,0.09199,0.091791,0.091822,126.85,2018-01-19 15:19:00
1516375200,0.091822,0.091916,0.091766,0.091875,209.125,2018-01-19 15:20:00
1516375260,0.091875,0.09198300000000001,0.091783,0.091835,157.887,2018-01-19 15:21:00
1516375320,0.091836,0.091989,0.09179,0.091961,138.263,2018-01-19 15:22:00
1516375380,0.09185700000000001,0.092,0.09185700000000001,0.0919,153.46200000000005,2018-01-19 15:23:00
1516375440,0.0919,0.092045,0.0919,0.091924,174.854,2018-01-19 15:24:00
1516375500,0.091924,0.09205,0.091913,0.091929,137.835,2018-01-19 15:25:00
1516375560,0.091937,0.09208999999999999,0.091918,0.09195700000000001,192.171,2018-01-19 15:26:00
1516375620,0.09195700000000001,0.092081,0.091919,0.092049,204.25400000000002,2018-01-19 15:27:00
1516375680,0.091989,0.092049,0.091918,0.09192,147.16299999999995,2018-01-19 15:28:00
1516375740,0.092029,0.09203,0.091843,0.0919,296.404,2018-01-19 15:29:00
1516375800,0.0919,0.0919,0.091766,0.0918,194.80599999999998,2018-01-19 15:30:00
1516375860,0.0918,0.0918,0.091748,0.0918,121.992,2018-01-19 15:31:00
1516375920,0.091752,0.09183,0.091741,0.09174199999999999,157.217,2018-01-19 15:32:00
1516375980,0.09174199999999999,0.09183,0.09165,0.09181399999999999,146.65200000000004,2018-01-19 15:33:00
1516376040,0.091752,0.09181399999999999,0.091701,0.09170199999999999,123.45299999999999,2018-01-19 15:34:00
1516376100,0.09170299999999999,0.09181,0.09161799999999999,0.091666,137.9,2018-01-19 15:35:00
1516376160,0.091666,0.091916,0.091665,0.091726,216.293,2018-01-19 15:36:00
1516376220,0.091726,0.091837,0.091725,0.09183,92.69200000000001,2018-01-19 15:37:00
1516376280,0.091739,0.091837,0.09172999999999999,0.09174,125.204,2018-01-19 15:38:00
1516376340,0.09174,0.09188400000000001,0.09174,0.091752,110.22399999999999,2018-01-19 15:39:00
1516376400,0.091845,0.091857,0.091743,0.091744,103.803,2018-01-19 15:40:00
1516376460,0.091744,0.09189,0.09141,0.091719,302.709,2018-01-19 15:41:00
1516376520,0.091861,0.091939,0.091725,0.091893,183.763,2018-01-19 15:42:00
1516376580,0.0918,0.091897,0.09175499999999999,0.091764,126.139,2018-01-19 15:43:00
1516376640,0.091764,0.09186,0.09175499999999999,0.09185900000000001,178.733,2018-01-19 15:44:00
1516376700,0.09185800000000001,0.09186,0.091737,0.091847,170.072,2018-01-19 15:45:00
1516376760,0.091765,0.09186,0.091736,0.09174600000000001,134.00799999999998,2018-01-19 15:46:00
1516376820,0.091749,0.09184,0.0917,0.091707,114.479,2018-01-19 15:47:00
1516376880,0.091707,0.091968,0.091653,0.091741,371.61,2018-01-19 15:48:00
1516376940,0.09175,0.09185,0.091567,0.091692,140.4,2018-01-19 15:49:00
1516377000,0.091692,0.091848,0.091692,0.09171,196.55900000000003,2018-01-19 15:50:00
1516377060,0.09171,0.091721,0.09157,0.091608,103.423,2018-01-19 15:51:00
1516377120,0.091608,0.091712,0.0916,0.091613,89.33200000000002,2018-01-19 15:52:00
1516377180,0.09162,0.091743,0.091613,0.09162,143.295,2018-01-19 15:53:00
1516377240,0.09162,0.09173,0.09145,0.091641,211.735,2018-01-19 15:54:00
1516377300,0.091455,0.091699,0.091121,0.09118,411.012,2018-01-19 15:55:00
1516377360,0.09118,0.091367,0.091111,0.091136,219.834,2018-01-19 15:56:00
1516377420,0.091252,0.091259,0.091131,0.091132,149.246,2018-01-19 15:57:00
